ID,Model,Dataset,Epoch,BS,Run_Env,CPU_Util_%_ran,Max_CPU_Util_%,Min_CPU_Util_%,GPU_Util_%_ran,MGUP,Min_GPU_Util_%,Sys_Mem_Util_%_ran,Max_Sys_Mem_Util_%,Min_Sys_Mem_Util_%,MaPMiU(non swap),PMiU(non swap)_%,CPU_Thds,GPU_Temp_ran,Max_GPU_Temp,Min_GPU_Temp,GTSAMPR,MaGTSAMP,MiGTSAMP,MGMAP,GPUPR,MaGPUPR,MiGPUPR,SCT_user,SCT_nice,SCT_sys,SCT_idle,SCT_iowait,SCT_irq,SCT_softirq,SCT_steal,SCT_guest,SCT_guest_nice,Cor_in_Sys,CS_ctx_switches,CS_interrupts,CS_soft_interrupts,CS_syscalls,SMU_total,SMU_available,SMU_percent,SMU_used,SMU_free,SMU_active,SMU_inactive,SMU_buffers,SMU_cached,SMU_shared,SMU_slab,DU_total,DU_used,DU_free,DU_percent,NIOB_sent,NIOB_received,NIOP_sent,NIO_received,NIO_errin,NIO_errout,NIO_dropin,NIO_dropout
19,ResNet50,GTSRB,5,32,Standard,50.99,98.01,47.02,1.6,73,71.4,0.57,24.97,24.4,506.84,3.9,16,41.53,74.53,33,0.8,37.67,36.87,53.78,9.7,65.45,55.75,761.57,0,144.24,2185.04,30.46,0,5.82,0,0,0,2,7914823,4821982,2455263,0,13617745920,10293653504,24.4,3790798848,1008713728,3600330752,8182476800,176275456,8641957888,13848576,581259264,1.79135E+11,42885210112,1.36233E+11,23.9,30448814,487688847,69581,78689,0,0,0,0
20,ResNet50,GTSRB,3,2,Standard,57.58,88.5,30.92,4.34,49.47,45.13,0.57,25.17,24.6,505.94,3.89,16,24,57,33,0.93,11.2,10.27,53.78,3.49,38.99,35.5,1078.87,0,143.44,4380.53,32.97,0,13.37,0,0,0,2,14666783,8063087,3983852,0,13617745920,10259750912,24.7,3729928192,1007009792,3632787456,8150007808,178520064,8702287872,13848576,581562368,1.79135E+11,42885308416,1.36232E+11,23.9,65572636,521947796,143368,149385,0,0,0,0
21,Inception_v3,GTSRB,7,1024,Standard,52.32,82.23,29.91,21,85,64,1.59,25.29,23.7,505.96,3.9,16,40.69,73.69,33,8.74,40.87,32.13,98.05,15.09,73.26,58.17,582.82,0,99.98,4065.9,29.52,0,2.28,0,0,0,2,7406870,4396621,2041687,0,13617745920,10398334976,23.6,6319706112,160571392,3390283776,9249349632,171597824,6965870592,13840384,564895744,1.79135E+11,42875695104,1.36242E+11,23.9,11411867,461908164,32417,37452,0,0,0,0
22,Inception_v3,GTSRB,7,256,Standard,58.12,88.69,30.57,42.8,76.2,33.4,10.5,21.16,10.66,95.04,0.73,12,35.13,68.13,33,19.2,34.13,14.93,53.73,41.76,74.6,32.84,621.47,0,98.1,670.26,24.42,0,2.83,0,0,0,2,6813536,4108331,1766851,0,13617737728,10754781184,21,3801538560,1073176576,3114725376,8607637504,173617152,8569405440,13840384,578088960,1.79135E+11,42876715008,1.36241E+11,23.9,15441276,465821981,40410,45851,0,0,0,0
23,Inception_v3,GTSRB,6,128,Standard,47.15,84.07,36.92,8.33,75.2,66.87,0.37,22.67,22.3,505.84,3.9,16,39.83,72.83,33,3.6,29.53,25.93,53.73,17.9,65.78,47.88,571.44,0,101.74,585.65,28.91,0,2.69,0,0,0,2,6089074,3671829,1664531,0,13617745920,10582310912,22.3,3736309760,1129766912,3293564928,8370163712,175403008,8576266240,13848576,579428352,1.79135E+11,42875686912,1.36242E+11,23.9,16029844,466434273,42951,47248,0,0,0,0
24,Inception_v3,GTSRB,5,32,Standard,41.48,87.53,46.05,4,66.73,62.73,0.04,23.9,23.86,504.96,3.89,16,37,70,33,1.47,21.07,19.6,53.73,6.6,52.19,45.59,620.49,0,84.62,319.09,26.17,0,4.32,0,0,0,2,5923121,3654160,1807051,0,13617745920,10368638976,23.9,3674726400,1159397376,3507953664,8120045568,175562752,8608059392,13848576,580136960,1.79135E+11,42875580416,1.36242E+11,23.9,28380892,478566826,70760,76425,0,0,0,0
25,Inception_v3,GTSRB,3,2,Standard,46.44,82.19,35.75,2.67,51.07,48.4,0.61,23.51,22.9,505.72,3.89,16,15,48,33,12.833,18.633,5.8,53.73,3.66,31.61,27.95,1149.26,0,126.64,1545.84,29.58,0,15.14,0,0,0,2,16450890,8908861,3783643,0,13617745920,10493652992,22.9,3470729216,1282711552,3395125248,8112799744,178597888,8685707264,13840384,582307840,1.79135E+11,42875973632,1.36242E+11,23.9,80305917,529607002,174190,180792,0,0,0,0
26,small_bert/bert_en_uncased_L-4_H-512_A-8,IMDB,3,256,High-RAM,10.54,56.99,46.45,57.2,68.6,11.4,0.47,13.67,13.2,507.27,1.95,20,45.73,78.73,33,44.33,44.33,0,94.15,23.96,86.27,62.31,1898.76,0,432.81,5093.94,24.4,0,11.97,0,0,0,4,115780176,38750895,5345010,0,27332632576,23627067392,13.6,4577820672,17063550976,3929153536,5674868736,194387968,5496872960,26447872,423395328,1.79135E+11,42369216512,1.36749E+11,23.7,30067797,285146821,63557,71053,0,0,0,0
27,small_bert/ bert_en_uncased_L-2_H-128_A-2 ,IMDB,3,256,High-RAM,66,66.81,0.81,21.13,21.13,0,0.08,10.8,10.72,505.96,1.94,20,44.47,77.47,33,5.13,7.13,2,16.41,21.04,64.1,43.06,2650.68,0,654.68,6364.63,41.79,0,16.08,0,0,0,4,155480722,50939272,7790952,0,27332632576,24379392000,10.8,3380191232,16915701760,3690967040,6040076288,198311936,6838427648,13946880,456323072,1.79135E+11,42815033344,1.36303E+11,23.9,39527747,694333855,89944,109695,0,0,0,0
28,small_bert/bert_en_uncased_L-2_H-256_A-4,IMDB,3,256,High-RAM,2.5,64.95,62.45,17.46,30.53,13.07,0.2,10.3,10.1,505.97,1.94,20,45.13,78.13,33,18.8,20.8,2,29.97,16.08,65.84,49.76,3771.65,0,934.42,9178.65,44.92,0,20.2,0,0,0,4,232051256,75639721,10860756,0,27332632576,24572592128,10.1,3507433472,16514994176,3543445504,6580297728,202379264,7107825664,18165760,463728640,1.79135E+11,42857123840,1.36261E+11,23.9,55288597,747016556,122202,143218,0,0,0,0
29,small_bert/ bert_en_uncased_L-2_H-512_A-8 ,IMDB,3,256,High-RAM,7.35,61.7,54.35,16.2,40.53,24.33,0.26,10.1,9.84,505.5,1.94,20,45.13,78.13,33,12.87,25,12.13,57.08,16.17,77.83,61.66,4946.34,0,1212.47,10643.56,47.23,0,23.36,0,0,0,4,311393642,101712276,13881521,0,27332632576,24586428416,10,3691364352,16034992128,3627343872,6965649408,205889536,7400386560,18190336,472526848,1.79135E+11,42951462912,1.36166E+11,24,70105045,847165439,147596,170247,0,0,0,0
30,small_bert/ bert_en_uncased_L-2_H-768_A-12 ,IMDB,3,256,High-RAM,8.69,56.6,47.91,70.87,99.14,28.27,0.45,10.55,10.1,505.52,1.94,20,46.13,79.13,33,42.98,56.71,13.73,94.15,38.22,95.74,57.52,6206.73,0,1497.31,12606.68,50.5,0,27.49,0,0,0,4,394356267,129864267,17114152,0,27332632576,24464961536,10.5,4060688384,15227875328,3914264576,7474556928,209821696,7834247168,18219008,485326848,1.79135E+11,43111706624,1.36006E+11,24.1,88003534,1011100938,180126,206955,0,0,0,0
31,small_bert/ bert_en_uncased_L-4_H-128_A-2,IMDB,3,256,High-RAM,2.23,65.7,63.47,1.67,19.07,17.4,0.06,10.47,10.41,505.7,1.94,20,45.33,78.33,33,8.73,11.73,3,94.15,20.31,65.62,45.31,7347.71,0,1774.78,13912.46,53.89,0,30.41,0,0,0,4,470353653,154433416,20064789,0,27332632576,24496300032,10.4,4106248192,15030128640,3912876032,7669235712,213086208,7983169536,18243584,489824256,1.79135E+11,43136368640,1.35981E+11,24.1,101196990,1043114781,202470,229761,0,0,0,0
32,small_bert/ bert_en_uncased_L-4_H-256_A-4 ,IMDB,3,256,High-RAM,4.5,62.63,58.13,31.94,48.47,16.53,0,10.4,10.4,506.35,1.94,20,42.08,75.08,33,32.6,39.07,6.47,94.15,20.59,72.48,51.89,8517.61,0,2054.65,15304.88,55.93,0,33.72,0,0,0,4,548424897,180021621,23080651,0,27332632576,24499716096,10.4,4239495168,14664314880,3963609088,7977345024,216489984,8212332544,18268160,496582656,1.79135E+11,43186778112,1.35931E+11,24.1,115491389,1100135387,226118,254245,0,0,0,0
33,DCGAN,MNIST,50,1024,High-RAM,26.82,42.25,15.43,10.33,78.33,68,0.15,11.35,11.2,506.62,1.94,20,42.8,75.8,33,3.87,28,24.13,28.69,10.13,69.79,59.66,591.04,0,70.67,4669.95,33.35,0,7.86,0,0,0,4,11526101,6550959,1732547,0,27332632576,24234303488,11.3,3807887360,17736273920,3100598272,6025048064,147755008,5640716288,11767808,204402688,1.79135E+11,41628418048,1.37489E+11,23.2,30960768,43037960,39249,39559,0,0,0,0
34,DCGAN,MNIST,50,256,High-RAM,13.36,36.32,22.96,5.6,46,40.4,0.02,11.91,11.89,504.5,1.94,20,40.33,73.33,33,1.8,15.53,13.73,16.11,10.44,49.93,39.49,955.64,0,70.52,3810.08,29.36,0,6.24,0,0,0,4,7152988,4724009,2146690,0,27332632576,24069459968,11.9,3641692160,17927225344,3211755520,5719629824,142221312,5621493760,11751424,203857920,1.79135E+11,41627893760,1.3749E+11,23.2,28072374,40425939,31346,31842,0,0,0,0
35,DCGAN,MNIST,10,32,High-RAM,10.99,35.49,24.5,3.2,36.6,33.4,0.2,12.9,12.7,504.59,1.94,20,44,77,33,1.06,9.13,8.07,12.01,9.12,57.42,48.3,1032.82,0,65.75,4327.08,28.21,0,7.67,0,0,0,4,5172118,3785343,2279763,0,27332632576,23812788224,12.9,4212420608,17226412032,3483938816,6171893760,142135296,5751664640,13848576,205701120,1.79135E+11,41626742784,1.37491E+11,23.2,22686984,36115354,29637,29823,0,0,0,0
36,DCGAN,MNIST,5,2,High-RAM,15.7,42.04,26.34,0.4,6.8,6.4,0.1,11.3,11.2,504.34,1.93,20,18.13,51.13,33,0.47,0.8,0.33,6.68,0.23,15.32,15.09,9754.23,0,428.42,28142.28,34.51,0,37.82,0,0,0,4,22207941,23433270,18332642,0,27332632576,24229031936,11.4,3445063680,18088009728,3064512512,5709275136,158044160,5641515008,11751424,205758464,1.79135E+11,41626836992,1.37491E+11,23.2,206531677,216327219,300719,309880,0,0,0,0
37,Image Segmentation,oxford_iiit_pet/3.2.0,20,2,High-RAM,23.87,63.86,39.99,4.6,50.2,45.6,0.2,10.4,10.2,94.93,0.36,12,25.79,58.79,33,1.6,9.47,7.87,28.68,2.96,34.66,31.7,1338.27,0,164.29,8503.3,39.18,0,21.54,0,0,0,4,12189521,8391779,4281283,0,27332632576,24506355712,10.3,4073943040,12037943296,3327893504,11283726336,157892608,11062853632,18046976,415907840,1.79135E+11,44110888960,1.35007E+11,24.6,86905187,984779393,117051,135396,0,0,0,0
38,Image Segmentation,oxford_iiit_pet/3.2.1,30,32,High-RAM,10,59.36,49.36,7,69.4,62.4,2.09,9.5,7.41,94.63,0.36,12,41.4,74.4,33,2.14,22.87,20.73,28.7,6.92,59.1,52.18,608.99,0,77.78,1749.12,40.52,0,7.3,0,0,0,4,4120353,2969539,1698814,0,27332632576,24670126080,9.7,4094242816,12117233664,2802638848,11736244224,152453120,10968702976,80953344,410656768,1.79135E+11,44109905920,1.35008E+11,24.6,46081629,909022462,56804,78315,0,0,0,0
39,Image Segmentation,oxford_iiit_pet/3.2.2,35,128,High-RAM,15.15,62.98,47.83,11.33,73.73,62.4,2.43,9.84,7.41,94.85,0.36,12,41.4,74.4,33,3.74,25.67,21.93,28.7,13.96,63.46,49.5,581.73,0,81.27,3405.15,36.77,0,6.72,0,0,0,4,4614733,3250350,1792146,0,27332632576,24480432128,10.4,4264812544,11745357824,2808246272,12099272704,152285184,11170177024,282288128,412721152,1.79135E+11,44110352384,1.35007E+11,24.6,41239652,904707603,54704,76371,0,0,0,0
40,Image Segmentation,oxford_iiit_pet/3.2.3,40,256,High-RAM,19.2,58.53,39.33,16.47,78.8,62.33,3,10.8,7.8,94.74,0.36,12,41.13,74.13,33,5.6,30,24.4,53.86,13.61,62.39,48.78,482.45,0,53.28,864.22,38.52,0,6.41,0,0,0,4,4936261,3077936,1361233,0,27332632576,24053432320,12,4679819264,11069706240,2985361408,12592046080,152219648,11430887424,550514688,412127232,1.79135E+11,44109905920,1.35008E+11,24.6,45559332,907557195,51386,67689,0,0,0,0
41,Image Segmentation,oxford_iiit_pet/3.2.4,50,1024,High-RAM,31.21,62.76,31.55,22.2,90.07,67.87,4.36,12.67,8.31,94.55,0.36,12,35.27,68.27,33,14.47,35.07,20.6,98.16,20.15,65.82,45.67,401.18,0,56.85,1143.84,42.28,0,5.93,0,0,0,4,3640357,2379189,1208971,0,27332632576,23318503424,14.7,6066028544,9164398592,2827866112,14622597120,152682496,11949522944,1087586304,418963456,1.79135E+11,44109873152,1.35008E+11,24.6,60212988,918771405,44820,61338,0,0,0,0
42,Reinforcement Learning ,Cart Pole Problem,20000,1024,High-RAM,22.72,87.8,65.08,0.4,1.8,1.4,0.27,8.67,8.4,95.02,0.36,12,3,36,33,0,0,0,2.92,0.43,13.39,12.96,2530.85,1.57,436.48,2926.82,54.17,0,8.71,0,0,0,4,87130460,30238934,6107783,0,27332632576,25005305856,8.5,2371985408,12158902272,2452258816,11963990016,228044800,12573700096,14053376,491593728,1.79135E+11,43679318016,1.35438E+11,24.4,55728190,642011220,107217,125886,0,0,0,0
43,Reinforcement Learning ,Cart Pole Problem,20000,256,High-RAM,22.5,80.35,57.85,0.73,2.6,1.87,0.67,8.5,7.83,94.62,0.36,12,12,45,33,0,0,0,2.89,0.7,14.39,13.69,1369.44,0,291.91,7797.05,65.05,0,9.52,0,0,0,4,26112612,10031301,3903163,0,27332632576,25002192896,8.5,2340515840,12232724480,2433609728,11909214208,225427456,12533964800,12914688,491917312,1.79135E+11,43679387648,1.35438E+11,24.4,49017086,635188188,92488,108466,0,0,0,0
44,Reinforcement Learning ,Cart Pole Problem,20000,128,High-RAM,33.71,76.3,42.59,0.74,3.07,2.33,0.64,8.6,7.96,95.12,0.36,12,2,35,33,0,0,0,2.89,0.41,13.08,12.67,936.43,0,141.84,2296.8,56.28,0,8.87,0,0,0,4,15098559,5809536,2516076,0,27332632576,24985640960,8.6,2346840064,12225404928,2450767872,11898974208,226275328,12534112256,12906496,492580864,1.79135E+11,43679334400,1.35438E+11,24.4,46447341,632428156,85075,98664,0,0,0,0
45,Reinforcement Learning ,Cart Pole Problem,20000,32,High-RAM,20.01,54.67,34.66,4,7,3,0.55,8.6,8.05,94.84,0.36,12,5.4,38.4,33,0,0,0,2.89,0.29,13.85,13.56,544.97,0,100.31,4617.61,56.58,0,9.63,0,0,0,4,10235189,4499594,2045829,0,27332632576,24967041024,8.7,2359500800,12218949632,2454827008,11893903360,226365440,12527816704,12918784,496295936,1.79135E+11,43679186944,1.35439E+11,24.4,43037575,629171833,78981,95781,0,0,0,0
46,Reinforcement Learning ,Cart Pole Problem,20000,10,High-RAM,22.13,53.74,31.61,3.2,11.53,8.33,0.5,8.62,8.12,94.6,0.36,12,11,44,33,0,0,0,2.89,0.51,14.04,13.53,491.33,0,83.66,1391.26,60.72,0,6.62,0,0,0,4,8589759,4186196,1668751,0,27332632576,24982753280,8.6,2343280640,12237070336,2449862656,11885203456,226119680,12526161920,12914688,491868160,1.79135E+11,43679199232,1.35439E+11,24.4,42784291,628923322,77888,92799,0,0,0,0
47,Reinforcement Learning ,Cart Pole Problem,5000,3000,High-RAM,22.13,91.23,69.1,0.2,0.8,0.6,2.63,9.03,6.4,94.76,0.36,12,10,43,33,0,0,0,2.97,2.89,13.69,10.8,2278.02,0,531.65,1150.66,58.57,0,5.18,0,0,0,4,68411563,24268771,5512816,0,27332632576,24831840256,9.1,2545393664,12099436544,2508795904,11959246848,227184640,12460617728,12906496,489271296,1.79135E+11,43679301632,1.35438E+11,24.4,42388383,628853588,56518,72368,0,0,0,0
48,Reinforcement Learning ,Cart Pole Problem,3000,5000,High-RAM,13.38,86.16,72.78,0.07,1,0.93,0.27,8.35,8.08,95,0.36,12,3,36,33,0,0,0,2.97,0.22,14.17,13.95,1584.08,0,326.6,791.1,60.81,0,5.22,0,0,0,4,64775216,22332397,3985959,0,27332632576,25050259456,8.4,2350968832,12219437056,2375716864,11971801088,225517568,12536709120,12906496,493707264,1.79135E+11,43679260672,1.35439E+11,24.4,36278239,622715578,43804,61717,0,0,0,0
49,Reinforcement Learning ,Cart Pole Problem,3000,7000,High-RAM,22.53,84.82,62.29,0.4,1,0.6,0.36,9,8.64,95.21,0.37,12,26,59,33,0,0,0,3.23,2.73,38.34,35.61,2460.6,0,476.58,1080.7,45.32,0,5.95,0,0,0,4,91842993,31845600,5742177,0,27332632576,24871243776,9,2649923584,11903451136,2573398016,12112007168,228982784,12550275072,15011840,491278336,1.79135E+11,43679199232,1.35439E+11,24.4,40498977,627069020,50869,65587,0,0,0,0
